hospital_name,doctor_name,qualification,specialization,doctor_phone,doctor_email,doctors_age,yoe,hospital_exact_location,disease_related,gender,available_for_online_consultation,avialable_slots,ratings(out_of_5),consultation_fee
Himachal Head Neck Hospital,Dr. Neha Thakur,MBBS,ENT Specialist,+91-7602238226,neha.thakur855@medmail.com,49,,"Sujanpur Tira, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,983
Himachal Head Neck Hospital,Dr. Manish Mahajan,"MBBS, MCh",Orthopedic Surgeon,+91-8129750943,manish.mahajan759@medmail.com,63,,"Near Bypass Road, Hamirpur",Bone & Joint Problems,Male,No,4:00 PM - 8:00 PM,3.0,1025
Himachal Head Neck Hospital,Dr. Karan Chauhan,"MBBS, DM",Pediatrician,+91-7017471709,karan.chauhan504@medmail.com,44,,"Sujanpur Tira, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,1260
Himachal Head Neck Hospital,Dr. Arun Verma,"MBBS, MD",Cardiologist,+91-9101802691,arun.verma643@medmail.com,32,,"Dugha, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,912
Himachal Head Neck Hospital,Dr. Alka Mahajan,"MBBS, MD",General Surgeon,+91-7499709545,alka.mahajan124@medmail.com,63,,"Near Bypass Road, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,942
Himachal Head Neck Hospital,Dr. Harsh Kapoor,"MBBS, MS",Neurologist,+91-8020067830,harsh.kapoor379@medmail.com,54,,"Pakka Bharor, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,1328
Himachal Head Neck Hospital,Dr. Deepak Sharma,"MBBS, MCh",Gynecologist,+91-7822328986,deepak.sharma10@medmail.com,32,,"Sujanpur Tira, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,802
Himachal Head Neck Hospital,Dr. Harsh Gupta,"MBBS, MS",Cardiologist,+91-9004546938,harsh.gupta356@medmail.com,61,,"Krishna Nagar, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,1066
Himachal Head Neck Hospital,Dr. Pooja Sharma,MBBS,Pediatrician,+91-9432930040,pooja.sharma448@medmail.com,55,,"Sujanpur Tira, Hamirpur",Child Health Issues,Female,No,4:00 PM - 8:00 PM,3.0,697
Himachal Head Neck Hospital,Dr. Anjali Bhardwaj,"MBBS, MS",Oncologist,+91-9253858310,anjali.bhardwaj743@medmail.com,56,,"Krishna Nagar, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1170
Himachal Head Neck Hospital,Dr. Suresh Verma,MBBS,Pediatrician,+91-9643470963,suresh.verma990@medmail.com,40,,"Pakka Bharor, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,1094
Himachal Head Neck Hospital,Dr. Pooja Chauhan,"MBBS, MCh",Pediatrician,+91-9330599446,pooja.chauhan727@medmail.com,38,,"Main Market, Hamirpur",Child Health Issues,Female,No,4:00 PM - 8:00 PM,3.0,692
Thakur Surgical & Maternity Nursing Home,Dr. Raghav Bhardwaj,MBBS,Pediatrician,+91-7904797367,raghav.bhardwaj76@medmail.com,59,,"Sujanpur Tira, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,506
Thakur Surgical & Maternity Nursing Home,Dr. Neha Verma,"MBBS, DM",Neurologist,+91-7551457830,neha.verma80@medmail.com,49,,"Krishna Nagar, Hamirpur",Brain Disorders,Female,No,4:00 PM - 8:00 PM,3.0,1338
Thakur Surgical & Maternity Nursing Home,Dr. Harsh Sharma,"MBBS, MD",Cardiologist,+91-7770751928,harsh.sharma216@medmail.com,62,,"Near Bypass Road, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,1191
Thakur Surgical & Maternity Nursing Home,Dr. Raghav Verma,"MBBS, MD",General Surgeon,+91-8781101129,raghav.verma143@medmail.com,46,,"Krishna Nagar, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,1163
Thakur Surgical & Maternity Nursing Home,Dr. Raghav Kashyap,"MBBS, MS",General Surgeon,+91-8444811876,raghav.kashyap394@medmail.com,60,,"Dugha, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,1042
Thakur Surgical & Maternity Nursing Home,Dr. Deepak Gupta,"MBBS, MCh",Pediatrician,+91-8134008969,deepak.gupta440@medmail.com,55,,"Dugha, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,863
Thakur Surgical & Maternity Nursing Home,Dr. Rohit Sharma,"MBBS, MD",General Surgeon,+91-8223632950,rohit.sharma208@medmail.com,53,,"Near Bypass Road, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,1320
Thakur Surgical & Maternity Nursing Home,Dr. Anjali Verma,MBBS,Gynecologist,+91-9007522736,anjali.verma419@medmail.com,57,,"Dugha, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,395
Thakur Surgical & Maternity Nursing Home,Dr. Vikas Gupta,"MBBS, MCh",General Surgeon,+91-8944100962,vikas.gupta934@medmail.com,34,,"Pakka Bharor, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,784
Thakur Surgical & Maternity Nursing Home,Dr. Manish Verma,"MBBS, MD",Oncologist,+91-7972173559,manish.verma524@medmail.com,63,,"Pakka Bharor, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,530
Thakur Surgical & Maternity Nursing Home,Dr. Arun Bhardwaj,"MBBS, MCh",Pediatrician,+91-7046201994,arun.bhardwaj829@medmail.com,55,,"Sujanpur Tira, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,1048
Thakur Surgical & Maternity Nursing Home,Dr. Pooja Kapoor,MBBS,General Surgeon,+91-7606582078,pooja.kapoor394@medmail.com,55,,"Sujanpur Tira, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,1494
Thakur Surgical & Maternity Nursing Home,Dr. Priya Sharma,"MBBS, MS",Neurologist,+91-9549001925,priya.sharma123@medmail.com,38,,"Dugha, Hamirpur",Brain Disorders,Female,No,4:00 PM - 8:00 PM,3.0,840
Thakur Surgical & Maternity Nursing Home,Dr. Manish Mahajan,"MBBS, MD",General Surgeon,+91-8096194329,manish.mahajan335@medmail.com,39,,"Dugha, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,1359
Thakur Surgical & Maternity Nursing Home,Dr. Shalini Verma,"MBBS, MD",Pediatrician,+91-9115823916,shalini.verma757@medmail.com,36,,"Near Bypass Road, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,824
Nav Bharati Clinic,Dr. Amit Kashyap,"MBBS, MCh",Gynecologist,+91-7487416596,amit.kashyap724@medmail.com,45,,"Pakka Bharor, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1483
Nav Bharati Clinic,Dr. Harsh Gupta,MBBS,Pediatrician,+91-8525123860,harsh.gupta704@medmail.com,53,,"Dugha, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,1409
Nav Bharati Clinic,Dr. Rahul Sharma,MBBS,Eye Specialist,+91-7209641592,rahul.sharma292@medmail.com,55,,"Near Bypass Road, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,877
Nav Bharati Clinic,Dr. Harsh Jaiswal,"MBBS, MS",Neurologist,+91-8575539786,harsh.jaiswal461@medmail.com,49,,"Near Bypass Road, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,981
Nav Bharati Clinic,Dr. Ritu Mahajan,"MBBS, DM",Dermatologist,+91-7128070906,ritu.mahajan827@medmail.com,34,,"Dugha, Hamirpur",Skin Problems,Female,No,4:00 PM - 8:00 PM,3.0,856
Nav Bharati Clinic,Dr. Neha Mahajan,"MBBS, MD",ENT Specialist,+91-9688975313,neha.mahajan258@medmail.com,44,,"Main Market, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1312
Nav Bharati Clinic,Dr. Amit Sharma,"MBBS, MD",General Surgeon,+91-9267630597,amit.sharma310@medmail.com,54,,"Sujanpur Tira, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,945
Nav Bharati Clinic,Dr. Karan Verma,MBBS,Dermatologist,+91-7718210977,karan.verma219@medmail.com,40,,"Dugha, Hamirpur",Skin Problems,Male,No,4:00 PM - 8:00 PM,3.0,1095
Nav Bharati Clinic,Dr. Arun Bhardwaj,MBBS,ENT Specialist,+91-8346369048,arun.bhardwaj632@medmail.com,46,,"Pakka Bharor, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1351
Nav Bharati Clinic,Dr. Neha Jaiswal,"MBBS, MCh",ENT Specialist,+91-7490801667,neha.jaiswal719@medmail.com,44,,"Pakka Bharor, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,489
Nav Bharati Clinic,Dr. Amit Singh,"MBBS, MCh",Pediatrician,+91-7817906961,amit.singh620@medmail.com,59,,"Dugha, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,932
Nav Bharati Clinic,Dr. Neha Chauhan,"MBBS, DM",Gynecologist,+91-7438850422,neha.chauhan368@medmail.com,54,,"Pakka Bharor, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,927
Nav Bharati Clinic,Dr. Neha Chauhan,MBBS,General Surgeon,+91-8229284602,neha.chauhan266@medmail.com,64,,"Krishna Nagar, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,1272
Nav Bharati Clinic,Dr. Deepak Rana,"MBBS, MD",General Surgeon,+91-8286550437,deepak.rana864@medmail.com,51,,"Pakka Bharor, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,1009
Nav Bharati Clinic,Dr. Vikas Mahajan,"MBBS, MD",Pediatrician,+91-8896814407,vikas.mahajan368@medmail.com,63,,"Pakka Bharor, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,948
Nav Bharati Clinic,Dr. Rahul Verma,"MBBS, MD",Gynecologist,+91-9847215508,rahul.verma347@medmail.com,61,,"Near Bypass Road, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,617
Nav Bharati Clinic,Dr. Raghav Bhardwaj,"MBBS, MS",Gynecologist,+91-9836348225,raghav.bhardwaj597@medmail.com,31,,"Dugha, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,983
Nav Bharati Clinic,Dr. Suresh Sharma,"MBBS, MS",Orthopedic Surgeon,+91-9366344033,suresh.sharma398@medmail.com,64,,"Pakka Bharor, Hamirpur",Bone & Joint Problems,Male,No,4:00 PM - 8:00 PM,3.0,963
Nav Bharati Clinic,Dr. Pooja Thakur,"MBBS, MD",Orthopedic Surgeon,+91-8345107618,pooja.thakur526@medmail.com,34,,"Krishna Nagar, Hamirpur",Bone & Joint Problems,Female,No,4:00 PM - 8:00 PM,3.0,1436
Nav Bharati Clinic,Dr. Harsh Thakur,"MBBS, MCh",ENT Specialist,+91-8353610116,harsh.thakur623@medmail.com,47,,"Dugha, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,741
Nav Bharati Clinic,Dr. Shalini Singh,"MBBS, DM",Cardiologist,+91-8065015925,shalini.singh603@medmail.com,53,,"Pakka Bharor, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,863
Nav Bharati Clinic,Dr. Meena Thakur,"MBBS, MS",Pediatrician,+91-8638765105,meena.thakur343@medmail.com,36,,"Main Market, Hamirpur",Child Health Issues,Female,No,4:00 PM - 8:00 PM,3.0,1436
Nav Bharati Clinic,Dr. Ritu Rana,"MBBS, MCh",Eye Specialist,+91-7939714280,ritu.rana974@medmail.com,60,,"Main Market, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1251
Aapka Hospital,Dr. Amit Mahajan,"MBBS, DM",Neurologist,+91-9874809124,amit.mahajan89@medmail.com,51,,"Main Market, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,1404
Aapka Hospital,Dr. Deepak Kapoor,"MBBS, MCh",Oncologist,+91-9985816857,deepak.kapoor402@medmail.com,46,,"Sujanpur Tira, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,998
Aapka Hospital,Dr. Sonal Verma,"MBBS, MD",General Surgeon,+91-9085879968,sonal.verma144@medmail.com,59,,"Main Market, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,412
Aapka Hospital,Dr. Karan Thakur,"MBBS, MCh",Cardiologist,+91-7363569203,karan.thakur988@medmail.com,43,,"Main Market, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,301
Aapka Hospital,Dr. Harsh Mahajan,"MBBS, MCh",Cardiologist,+91-9202587014,harsh.mahajan923@medmail.com,44,,"Main Market, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,941
Aapka Hospital,Dr. Naveen Kashyap,"MBBS, MS",General Surgeon,+91-8389835267,naveen.kashyap70@medmail.com,62,,"Krishna Nagar, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,519
Aapka Hospital,Dr. Anjali Kapoor,"MBBS, MS",General Surgeon,+91-7305462133,anjali.kapoor579@medmail.com,45,,"Dugha, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,1154
Aapka Hospital,Dr. Alka Jaiswal,"MBBS, MS",Neurologist,+91-9202866762,alka.jaiswal183@medmail.com,54,,"Krishna Nagar, Hamirpur",Brain Disorders,Female,No,4:00 PM - 8:00 PM,3.0,684
Aapka Hospital,Dr. Rahul Verma,"MBBS, MD",Cardiologist,+91-7006136608,rahul.verma867@medmail.com,37,,"Dugha, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,1453
Aapka Hospital,Dr. Ritu Singh,"MBBS, MCh",General Surgeon,+91-8931574276,ritu.singh627@medmail.com,56,,"Sujanpur Tira, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,1376
Aapka Hospital,Dr. Sheetal Thakur,"MBBS, MD",Cardiologist,+91-8927785016,sheetal.thakur331@medmail.com,59,,"Pakka Bharor, Hamirpur",Heart Problems,Female,No,4:00 PM - 8:00 PM,3.0,1029
Aapka Hospital,Dr. Rahul Mahajan,"MBBS, DM",Pediatrician,+91-9402685965,rahul.mahajan46@medmail.com,58,,"Pakka Bharor, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,546
Aapka Hospital,Dr. Rohit Kashyap,"MBBS, MD",Eye Specialist,+91-7995750693,rohit.kashyap696@medmail.com,56,,"Pakka Bharor, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1135
Minhas Hospital (Nadaun),Dr. Meena Mahajan,"MBBS, MCh",Eye Specialist,+91-7392307891,meena.mahajan119@medmail.com,42,,"Krishna Nagar, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,502
Minhas Hospital (Nadaun),Dr. Pooja Sharma,MBBS,Orthopedic Surgeon,+91-8570296087,pooja.sharma939@medmail.com,37,,"Dugha, Hamirpur",Bone & Joint Problems,Female,No,4:00 PM - 8:00 PM,3.0,422
Minhas Hospital (Nadaun),Dr. Arun Kashyap,MBBS,Cardiologist,+91-7030064780,arun.kashyap972@medmail.com,63,,"Dugha, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,700
Minhas Hospital (Nadaun),Dr. Neha Rana,MBBS,Eye Specialist,+91-9280066572,neha.rana944@medmail.com,42,,"Main Market, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1066
Minhas Hospital (Nadaun),Dr. Suresh Rana,MBBS,General Surgeon,+91-8677154398,suresh.rana323@medmail.com,52,,"Krishna Nagar, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,593
Minhas Hospital (Nadaun),Dr. Anjali Singh,MBBS,Orthopedic Surgeon,+91-9856417164,anjali.singh712@medmail.com,60,,"Near Bypass Road, Hamirpur",Bone & Joint Problems,Female,No,4:00 PM - 8:00 PM,3.0,579
Minhas Hospital (Nadaun),Dr. Priya Rana,MBBS,Cardiologist,+91-8259615895,priya.rana83@medmail.com,35,,"Sujanpur Tira, Hamirpur",Heart Problems,Female,No,4:00 PM - 8:00 PM,3.0,1183
Minhas Hospital (Nadaun),Dr. Neha Mahajan,"MBBS, MD",Eye Specialist,+91-8246828873,neha.mahajan492@medmail.com,41,,"Dugha, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,497
Minhas Hospital (Nadaun),Dr. Rohit Kapoor,MBBS,Neurologist,+91-7804008731,rohit.kapoor548@medmail.com,50,,"Pakka Bharor, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,1281
Minhas Hospital (Nadaun),Dr. Naveen Mahajan,"MBBS, MCh",Dermatologist,+91-9265805720,naveen.mahajan584@medmail.com,36,,"Krishna Nagar, Hamirpur",Skin Problems,Male,No,4:00 PM - 8:00 PM,3.0,1051
Minhas Hospital (Nadaun),Dr. Pooja Kashyap,MBBS,General Surgeon,+91-9192374198,pooja.kashyap9@medmail.com,56,,"Dugha, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,443
Minhas Hospital (Nadaun),Dr. Naveen Gupta,"MBBS, DM",Pediatrician,+91-9935339123,naveen.gupta451@medmail.com,48,,"Dugha, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,908
Minhas Hospital (Nadaun),Dr. Rahul Verma,MBBS,Cardiologist,+91-8279637026,rahul.verma998@medmail.com,35,,"Sujanpur Tira, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,1447
Minhas Hospital (Nadaun),Dr. Naveen Bhardwaj,"MBBS, MS",Neurologist,+91-8197205414,naveen.bhardwaj683@medmail.com,56,,"Main Market, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,486
Minhas Hospital (Nadaun),Dr. Sonal Sharma,"MBBS, MCh",Oncologist,+91-9651000915,sonal.sharma723@medmail.com,43,,"Sujanpur Tira, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,763
Minhas Hospital (Nadaun),Dr. Rahul Kashyap,"MBBS, MS",Oncologist,+91-9238765933,rahul.kashyap642@medmail.com,57,,"Main Market, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,959
Minhas Hospital (Nadaun),Dr. Manish Gupta,"MBBS, DM",Gynecologist,+91-9421052929,manish.gupta858@medmail.com,61,,"Near Bypass Road, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1063
Minhas Hospital (Nadaun),Dr. Priya Bhardwaj,"MBBS, MD",Pediatrician,+91-9931707436,priya.bhardwaj796@medmail.com,31,,"Main Market, Hamirpur",Child Health Issues,Female,No,4:00 PM - 8:00 PM,3.0,1254
Minhas Hospital (Nadaun),Dr. Neha Kashyap,"MBBS, MCh",Dermatologist,+91-7572028871,neha.kashyap843@medmail.com,41,,"Main Market, Hamirpur",Skin Problems,Female,No,4:00 PM - 8:00 PM,3.0,702
Minhas Hospital (Nadaun),Dr. Naveen Jaiswal,"MBBS, DM",Eye Specialist,+91-9477085819,naveen.jaiswal113@medmail.com,51,,"Dugha, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,446
Minhas Hospital (Nadaun),Dr. Harsh Singh,"MBBS, MD",General Surgeon,+91-8315730650,harsh.singh644@medmail.com,33,,"Near Bypass Road, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,1471
Minhas Hospital (Nadaun),Dr. Naveen Verma,"MBBS, DM",Cardiologist,+91-9901083673,naveen.verma334@medmail.com,53,,"Pakka Bharor, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,1163
Minhas Hospital (Nadaun),Dr. Deepak Jaiswal,"MBBS, MD",Eye Specialist,+91-9488753540,deepak.jaiswal76@medmail.com,53,,"Near Bypass Road, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,788
Minhas Hospital (Nadaun),Dr. Rahul Chauhan,"MBBS, MD",Neurologist,+91-9356609109,rahul.chauhan263@medmail.com,33,,"Main Market, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,1228
Minhas Hospital (Nadaun),Dr. Anjali Verma,MBBS,Neurologist,+91-8461369945,anjali.verma146@medmail.com,38,,"Pakka Bharor, Hamirpur",Brain Disorders,Female,No,4:00 PM - 8:00 PM,3.0,850
Minhas Hospital (Nadaun),Dr. Pooja Jaiswal,"MBBS, MD",Cardiologist,+91-9205805513,pooja.jaiswal384@medmail.com,58,,"Sujanpur Tira, Hamirpur",Heart Problems,Female,No,4:00 PM - 8:00 PM,3.0,637
Minhas Hospital (Nadaun),Dr. Rahul Kapoor,MBBS,ENT Specialist,+91-7623833034,rahul.kapoor947@medmail.com,31,,"Dugha, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1171
Minhas Hospital (Nadaun),Dr. Shalini Verma,"MBBS, DM",ENT Specialist,+91-7505783907,shalini.verma295@medmail.com,52,,"Krishna Nagar, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,940
Minhas Hospital (Nadaun),Dr. Amit Kapoor,"MBBS, DM",Eye Specialist,+91-7024613970,amit.kapoor225@medmail.com,36,,"Krishna Nagar, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,772
Minhas Hospital (Nadaun),Dr. Anjali Mahajan,"MBBS, MD",Cardiologist,+91-9290259787,anjali.mahajan120@medmail.com,47,,"Near Bypass Road, Hamirpur",Heart Problems,Female,No,4:00 PM - 8:00 PM,3.0,450
V Care Medical Centre,Dr. Meena Thakur,"MBBS, DM",Cardiologist,+91-9198062634,meena.thakur313@medmail.com,44,,"Near Bypass Road, Hamirpur",Heart Problems,Female,No,4:00 PM - 8:00 PM,3.0,562
V Care Medical Centre,Dr. Anjali Thakur,"MBBS, DM",General Surgeon,+91-7341906548,anjali.thakur557@medmail.com,51,,"Pakka Bharor, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,443
V Care Medical Centre,Dr. Pooja Chauhan,"MBBS, MCh",Eye Specialist,+91-9361642775,pooja.chauhan764@medmail.com,54,,"Sujanpur Tira, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,645
V Care Medical Centre,Dr. Naveen Singh,"MBBS, MD",Gynecologist,+91-7070215377,naveen.singh200@medmail.com,41,,"Sujanpur Tira, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,923
V Care Medical Centre,Dr. Vikas Chauhan,"MBBS, MCh",General Surgeon,+91-8025074851,vikas.chauhan203@medmail.com,50,,"Krishna Nagar, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,1316
V Care Medical Centre,Dr. Meena Kashyap,"MBBS, MD",General Surgeon,+91-8302530057,meena.kashyap11@medmail.com,35,,"Krishna Nagar, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,1180
V Care Medical Centre,Dr. Sonal Sharma,"MBBS, MD",Dermatologist,+91-7138968505,sonal.sharma810@medmail.com,46,,"Main Market, Hamirpur",Skin Problems,Female,No,4:00 PM - 8:00 PM,3.0,301
V Care Medical Centre,Dr. Manish Thakur,"MBBS, MS",ENT Specialist,+91-7239374171,manish.thakur545@medmail.com,44,,"Near Bypass Road, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1196
V Care Medical Centre,Dr. Harsh Chauhan,MBBS,Dermatologist,+91-8877710597,harsh.chauhan823@medmail.com,54,,"Krishna Nagar, Hamirpur",Skin Problems,Male,No,4:00 PM - 8:00 PM,3.0,553
V Care Medical Centre,Dr. Amit Gupta,"MBBS, MS",General Surgeon,+91-7864833749,amit.gupta394@medmail.com,61,,"Dugha, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,752
V Care Medical Centre,Dr. Alka Kapoor,MBBS,General Surgeon,+91-9169479501,alka.kapoor373@medmail.com,34,,"Krishna Nagar, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,1360
V Care Medical Centre,Dr. Naveen Mahajan,"MBBS, MS",Orthopedic Surgeon,+91-9114896611,naveen.mahajan235@medmail.com,32,,"Dugha, Hamirpur",Bone & Joint Problems,Male,No,4:00 PM - 8:00 PM,3.0,1483
V Care Medical Centre,Dr. Rahul Thakur,MBBS,General Surgeon,+91-8117218845,rahul.thakur578@medmail.com,64,,"Sujanpur Tira, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,1314
V Care Medical Centre,Dr. Rahul Sharma,"MBBS, DM",ENT Specialist,+91-7407932442,rahul.sharma948@medmail.com,39,,"Main Market, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,308
V Care Medical Centre,Dr. Manish Jaiswal,"MBBS, MD",Neurologist,+91-9311032590,manish.jaiswal952@medmail.com,50,,"Pakka Bharor, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,1422
V Care Medical Centre,Dr. Amit Singh,MBBS,Dermatologist,+91-7191996123,amit.singh40@medmail.com,53,,"Main Market, Hamirpur",Skin Problems,Male,No,4:00 PM - 8:00 PM,3.0,1115
V Care Medical Centre,Dr. Shalini Verma,"MBBS, MD",General Surgeon,+91-8940306224,shalini.verma168@medmail.com,51,,"Sujanpur Tira, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,507
V Care Medical Centre,Dr. Ritu Thakur,"MBBS, DM",Eye Specialist,+91-7627033101,ritu.thakur227@medmail.com,34,,"Pakka Bharor, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1454
V Care Medical Centre,Dr. Arun Jaiswal,"MBBS, MS",Dermatologist,+91-7487674460,arun.jaiswal909@medmail.com,54,,"Dugha, Hamirpur",Skin Problems,Male,No,4:00 PM - 8:00 PM,3.0,703
V Care Medical Centre,Dr. Vikas Kapoor,"MBBS, MD",Orthopedic Surgeon,+91-7622409690,vikas.kapoor923@medmail.com,41,,"Sujanpur Tira, Hamirpur",Bone & Joint Problems,Male,No,4:00 PM - 8:00 PM,3.0,451
"Regional (District) Ayurvedic Hospital, Hamirpur",Dr. Sonal Sharma,"MBBS, MCh",ENT Specialist,+91-8738167839,sonal.sharma46@medmail.com,33,,"Sujanpur Tira, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,353
"Regional (District) Ayurvedic Hospital, Hamirpur",Dr. Karan Rana,"MBBS, MD",Gynecologist,+91-8666413583,karan.rana133@medmail.com,55,,"Near Bypass Road, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1443
"Regional (District) Ayurvedic Hospital, Hamirpur",Dr. Rahul Jaiswal,"MBBS, MCh",Pediatrician,+91-8012802958,rahul.jaiswal92@medmail.com,31,,"Krishna Nagar, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,927
"Regional (District) Ayurvedic Hospital, Hamirpur",Dr. Pooja Mahajan,"MBBS, DM",Pediatrician,+91-7799929206,pooja.mahajan729@medmail.com,59,,"Krishna Nagar, Hamirpur",Child Health Issues,Female,No,4:00 PM - 8:00 PM,3.0,886
